;;;;;;Shot;BP;BP3rd;BPBox;Goal;Cross;PassBox;Pass3rd;Corner;TackWon;Danger;OutpOpp;Shot_diff;BP_diff;BP3rd_diff;BPBox_diff;Goal_diff;Cross_diff;PassBox_diff;Pass3rd_diff;Corner_diff;TackWon_diff;Danger_diff;OutpOpp_diff;EntrBox;Entr3rd;EntrBox_diff;Entr3rd_diff
MatchID;Team;Opponent;StartFrameID;EndFrameID;Intervall;isShot;IBAtime;IBAtimeInLastThird;IBAtimeInBox;isGoal;isCross;isPassSuccsessfulInBox;isPassSuccsessfulInLastThird;isCorner;TacklingWon_Event;DS_SubPhasesPeakweighted;Packing;isShot_dif;IBAtime_dif;IBAtimeInLastThird_dif;IBAtimeInBox_dif;isGoal_dif;isCross_dif;isPassSuccsessfulInBox_dif;isPassSuccsessfulInLastThird_dif;isCorner_dif;TacklingWon_dif;DS_SubPhasesPeakweighted_dif;Packing_dif;isEntryInBox;isEntryInLastThird;isEntryInLastThird_dif;isEntryInBox_dif
1;Team_1;Team_2;0;126;1;0;87;0;0;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;127;251;2;0;45;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;252;376;3;0;87;0;0;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;377;501;4;0;90;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;502;626;5;0;65;17;0;0;0;0;0;0;0;0;4;0;65;17;0;0;0;0;0;0;0;0;4;0;1;1;0
1;Team_1;Team_2;627;751;6;0;56;56;0;0;0;0;2;0;0;0,960585663;4;0;56;56;0;0;0;0;2;0;0;0,960585663;4;0;0;0;0
1;Team_1;Team_2;752;1368;7;0;65;65;0;0;0;0;1;0;0;0,677145305;1;0;57;65;0;0;0;0;1;0;0;0,677145305;1;0;0;0;0
1;Team_1;Team_2;1369;1583;8;0;0;0;0;0;0;0;0;0;1;0;0;0;-95;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;1584;1708;9;0;33;0;0;0;0;0;0;0;0;0;0;0;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;1709;1833;10;0;61;0;0;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;1834;1958;11;0;22;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;1959;2083;12;0;90;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;2084;2208;13;0;71;0;0;0;0;0;0;0;0;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;2209;2333;14;0;71;0;0;0;0;0;0;0;0;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;2334;2458;15;0;103;99;0;0;0;0;0;0;0;0;4;0;103;99;0;0;0;0;0;0;0;0;4;0;1;1;0
1;Team_1;Team_2;2459;2583;16;0;1;1;0;0;1;0;0;0;0;0,72025109;0;0;-88;1;0;0;1;0;0;0;0;0,72025109;0;0;0;0;0
1;Team_1;Team_2;2584;2708;17;0;0;0;0;0;0;0;0;0;0;0;0;0;-125;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;2709;2833;18;0;0;0;0;0;0;0;0;0;0;0;0;0;-125;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;2834;2958;19;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;2959;3357;20;0;14;0;0;0;0;0;0;0;0;0;0;0;-33;-4;0;0;0;0;-1;0;0;-0,436140112;0;0;0;-1;0
1;Team_1;Team_2;3358;3482;21;0;0;0;0;0;0;0;0;0;0;0;0;0;-70;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;3483;3607;22;0;33;0;0;0;0;0;0;0;0;0;0;0;13;-13;-6;0;0;0;0;0;0;-0,830751945;-7;0;0;-1;-1
1;Team_1;Team_2;3608;3732;23;0;62;0;0;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;3733;3857;24;0;0;0;0;0;0;0;0;0;0;0;0;0;-68;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;3858;3982;25;0;0;0;0;0;0;0;0;0;0;0;0;0;-55;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;3983;4107;26;0;0;0;0;0;0;0;0;0;0;0;0;0;-65;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;4108;4232;27;0;0;0;0;0;0;0;0;0;0;0;0;0;-89;-4;0;0;0;0;0;0;0;0;-2;0;0;-1;0
1;Team_1;Team_2;4233;4357;28;0;9;0;0;0;0;0;0;0;0;0;0;0;-60;-69;0;0;0;0;-2;0;0;-10;0;0;0;0;0
1;Team_1;Team_2;4358;4482;29;0;1;0;0;0;0;0;0;0;0;0;0;0;-79;-80;0;0;0;0;-2;0;0;0;-10;0;0;0;0
1;Team_1;Team_2;4483;4607;30;0;0;0;0;0;0;0;0;0;0;0;0;0;-19;-19;-2;0;-1;0;0;0;0;0;0;0;0;0;-1
1;Team_1;Team_2;4608;5273;31;0;44;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;5274;5398;32;0;75;0;0;0;0;0;0;0;1;0;0;0;32;-21;0;0;0;0;0;0;0;-0,367659782;0;0;0;-1;0
1;Team_1;Team_2;5399;5642;33;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;5643;5767;34;0;0;0;0;0;0;0;0;0;0;0;0;0;-70;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;5768;5892;35;0;0;0;0;0;0;0;0;0;0;0;0;0;-75;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;5893;6017;36;0;0;0;0;0;0;0;0;0;0;0;0;0;-79;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;6018;6142;37;0;0;0;0;0;0;0;0;0;0;0;0;0;-87;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;6143;6267;38;0;0;0;0;0;0;0;0;0;0;0;0;0;-83;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;6268;6392;39;0;0;0;0;0;0;0;0;0;0;0;0;0;-59;0;0;0;0;0;0;0;0;0;0;0;0;0;0
